file,emotion,text
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,e0,EXCUSE ME .
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,e0,YEAH .
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,e0,IS THERE A PROBLEM .
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,e0,WELL WHAT'S  THE PROBLEM LET ME CHANGE IT .
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,e2,THAT'S OUT OF CONTROL .
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,e0,CLEARLY . YOU KNOW DO YOU HAVE LIKE A SUPERVISOR OR SOMETHING .
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,e2,I  DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE . IT'S JUST A SIMPLE FORM I JUST NEED AN ID .
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,e2,YEAH  DO YOU  WANT . TO SEE MY SUPERVISOR HUH YEAH DO YOU WANT TO SEE MY SUPERVISOR FINE I'LL BE RIGHT BACK .
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,e3,DID YOU GET THE MAIL SO YOU SAW MY LETTER .
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,e3,YEAH I KNOW .
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,e3,I DON'T KNOW I . PUT IN THAT REQUEST TOO THEY DIDN'T .
data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,e0,I GUESS YOU KNOW EVERYBODY HAS TO MAKE . SACRIFICES .
